specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec,match_status,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS
2246239365799897088,0.02142329,182.37381,39.815934,1237664668444721167,16.6771,15.45488,14.94207,14.65812,14.52732,CFIS_LSB.279.260.r,182.10431686185288,40.0,Matched,3698.0,988.3551,1436.7789,182.3738219,39.8158183,14.9326,0.0003,15.032,0.0003,16.2692,0.0003,0.001822804,1.06228e-06,0.0007891473,5.177604e-07,-20.5,-20.05,17561.0,18.8435,26.336,3.0
2246297365038262272,0.02236754,182.97949,40.655067,1237664669518659675,16.45299,15.20179,14.57471,14.25908,14.02355,CFIS_LSB.278.261.r,182.7970929848191,40.5,Matched,26098.0,2317.5696,8008.7905,182.9795486,40.6551167,14.433,0.0002,14.4187,0.0003,15.2814,0.0002,0.001482273,9.302437e-07,0.0007741314,4.054767e-07,46.23,41.21,23608.0,16.9231,17.523,3.0
2247312214623021056,0.02114971,172.24569,38.851272,1237664667904376897,16.2648,14.72505,13.9925,13.5907,13.37696,CFIS_LSB.268.258.r,172.4257818296844,39.0,Matched,7043.0,7717.6147,2120.2537,172.2457115,38.8512604,13.9106,0.0002,13.9106,0.0002,15.6548,0.0002,0.002575326,9.268908e-07,0.002244533,8.159566e-07,-69.83,-54.53,77669.0,17.5164,45.878,0.0
2247332280710227968,0.02116356,171.82893,38.664243,1237664667904245871,16.89682,15.65746,15.12617,14.8159,14.55754,CFIS_LSB.269.257.r,171.86122943178617,38.5,Matched,26788.0,5490.0977,8184.4565,171.8288403,38.6643205,15.0229,0.0005,15.0229,0.0005,17.103,0.0006,0.004531293,3.010566e-06,0.000576903,4.167138e-07,34.31,34.55,31306.0,19.8166,52.642,16.0
2249554393659631616,0.02291953,161.76942,37.560974,1237664668437643465,16.8327,15.77851,15.38975,15.15989,15.06797,CFIS_LSB.257.255.r,161.97070520031895,37.5,Matched,22980.0,8094.4487,6184.7207,161.7692678,37.5609632,15.1498,0.0011,15.1498,0.0011,17.086,0.0007,0.002457088,2.019684e-06,0.001830191,1.409186e-06,-49.47,-47.37,42507.0,19.9178,43.78,0.0
2249586829252651008,0.02448254,160.79595,37.273098,1237664668437250202,16.36271,15.10823,14.50892,14.15721,13.90783,CFIS_LSB.255.255.r,160.71023278630872,37.5,Matched,1031.0,3677.5945,602.9808,160.7959858,37.2730738,14.4265,0.0004,14.4265,0.0004,16.0241,0.0004,0.002152181,1.062965e-06,0.001583776,7.890749e-07,-26.47,-29.15,44603.0,17.9941,34.279,0.0
2249592601688696832,0.02403748,160.37998,37.312852,1237664668437119003,15.21531,13.38275,12.5643,12.16075,11.98553,CFIS_LSB.254.255.r,160.07999657930358,37.5,Matched,4764.0,380.1485,1378.6564,160.3797343,37.3127528,12.601,0.0001,12.601,0.0001,14.5618,0.0002,0.00559083,1.868396e-06,0.004889464,1.53684e-06,54.15,59.38,395851.0,16.502,61.543,56.0
2249710249432868864,0.02570287,161.20404,38.181004,1237664669511254238,16.21369,14.71702,13.97755,13.57647,13.26646,CFIS_LSB.254.256.r,161.16531331421749,38.0,Matched,34678.0,4411.7144,8511.875,161.2039322,38.181214,13.8817,0.0002,13.8817,0.0002,15.681,0.0003,0.00327422,9.783731e-07,0.0007580777,2.993055e-07,-83.07,-82.71,45574.0,18.2382,40.648,18.0
2249718495770077184,0.02550224,162.11625,38.397177,1237664669511581715,15.69438,14.21457,13.58179,13.25912,13.22851,CFIS_LSB.254.257.r,162.27788950064567,38.5,Matched,10387.0,7455.1494,3013.5525,162.1162363,38.3973837,13.4007,0.0003,13.3828,0.0003,15.495,0.0002,0.004701752,1.669488e-06,0.003993117,1.63147e-06,-61.34,-1.58,194845.0,17.0833,83.483,51.0
2251916695432095744,0.02031868,189.48881,38.316303,1237664674324414570,16.84311,15.81303,15.39004,15.19324,14.983,CFIS_LSB.297.257.r,189.75013063658176,38.5,Matched,4134.0,8972.7744,1446.4362,189.4888473,38.3163386,15.3107,0.0004,15.3107,0.0004,16.2106,0.0004,0.0009826358,5.430273e-07,0.000696671,3.923316e-07,-27.91,-45.5,9879.0,18.8276,18.015,0.0
2253008235567015936,0.02402012,183.35704,37.698881,1237664338255282253,16.88609,15.59342,14.93523,14.59734,14.32187,CFIS_LSB.291.255.r,183.39873623849348,37.5,Matched,31932.0,5639.873,8854.1553,183.3570056,37.6988753,14.8544,0.0003,14.8544,0.0003,15.8853,0.0003,0.001587256,8.022429e-07,0.0008937515,4.689379e-07,-12.17,-10.87,20771.0,18.6188,22.105,0.0
