tile,ra,dec,good_fraction
CFIS_LSB.184.278.r,140.23128397693492,49.0,0.73299918
CFIS_LSB.075.329.r,140.32415759411236,74.5,0.80552772
CFIS_LSB.215.260.r,140.33128360321996,40.0,0.74706919
CFIS_LSB.186.277.r,140.35192604030723,48.5,0.61394632
CFIS_LSB.167.287.r,140.3779442546914,53.5,0.64329537
CFIS_LSB.207.265.r,140.3813664581081,42.5,0.79584714
CFIS_LSB.230.250.r,140.38907770756745,35.0,0.61520014
CFIS_LSB.169.286.r,140.40859192484982,53.0,0.81152169
CFIS_LSB.056.337.r,140.4438486151298,78.5,0.13539322
CFIS_LSB.171.285.r,140.44910851074172,52.5,0.6694971
CFIS_LSB.188.276.r,140.4807956872732,48.0,0.78217885
CFIS_LSB.233.248.r,140.52439100070498,34.0,0.76166075
CFIS_LSB.068.332.r,140.54122681091738,76.0,0.48144563
CFIS_LSB.217.259.r,140.61241999787578,39.5,0.72304744
CFIS_LSB.190.275.r,140.6177871276148,47.5,0.80544531
CFIS_LSB.209.264.r,140.6186202438663,42.0,0.79916427
CFIS_LSB.214.261.r,140.71430898831397,40.5,0.78400981
CFIS_LSB.232.249.r,140.75514357086308,34.5,0.67883537
CFIS_LSB.080.327.r,140.8374608833153,73.5,0.6902688
CFIS_LSB.183.279.r,140.88886745484655,49.5,0.45962501
CFIS_LSB.201.269.r,140.90422251984472,44.5,0.69008485
CFIS_LSB.216.260.r,140.9839872478861,40.0,0.74416767
CFIS_LSB.185.278.r,140.99341052028782,49.0,0.63719979
CFIS_LSB.231.250.r,140.99946500194818,35.0,0.78950387
CFIS_LSB.203.268.r,141.1016044881929,44.0,0.63112816
CFIS_LSB.187.277.r,141.10650628783577,48.5,0.84048562
CFIS_LSB.234.248.r,141.12749997495695,34.0,0.82249353
CFIS_LSB.189.276.r,141.2280339622055,48.0,0.85530558
CFIS_LSB.170.286.r,141.23941199541105,53.0,0.79105036
CFIS_LSB.218.259.r,141.26040350017013,39.5,0.74348236
CFIS_LSB.246.239.r,141.32153161492434,29.5,0.00162488
CFIS_LSB.066.333.r,141.36069980112907,76.5,0.79330654
CFIS_LSB.233.249.r,141.3618467759099,34.5,0.7259516
CFIS_LSB.215.261.r,141.37185248825938,40.5,0.79820726
CFIS_LSB.200.270.r,141.42135623730948,45.0,0.7579414
CFIS_LSB.078.328.r,141.4902558631887,74.0,0.80975759
CFIS_LSB.054.338.r,141.50276273253183,79.0,0.60965507
CFIS_LSB.182.280.r,141.57086824429751,50.0,0.11790026
CFIS_LSB.202.269.r,141.60523855228178,44.5,0.63390466
CFIS_LSB.232.250.r,141.6098522963289,35.0,0.76720535
CFIS_LSB.217.260.r,141.63669089255222,40.0,0.79412996
CFIS_LSB.184.279.r,141.65875197645772,49.5,0.02047694
CFIS_LSB.235.248.r,141.7306089492089,34.0,0.77440059
CFIS_LSB.186.278.r,141.75553706364073,49.0,0.53800204
CFIS_LSB.204.268.r,141.79668628370123,44.0,0.71065131
CFIS_LSB.188.277.r,141.8610865353643,48.5,0.85381962
CFIS_LSB.247.239.r,141.8960093857167,29.5,0.15654035
CFIS_LSB.219.259.r,141.90838700246448,39.5,0.76304587
CFIS_LSB.234.249.r,141.9685499809567,34.5,0.75351542
CFIS_LSB.246.240.r,142.02816622064793,30.0,0.76187683
CFIS_LSB.216.261.r,142.02939598820475,40.5,0.71634004
CFIS_LSB.201.270.r,142.12846301849603,45.0,0.74085519
CFIS_LSB.076.329.r,142.19514636203388,74.5,0.75689172
CFIS_LSB.233.250.r,142.22023959070964,35.0,0.82234129
CFIS_LSB.064.334.r,142.25316744274568,77.0,0.62631959
CFIS_LSB.218.260.r,142.2893945372184,40.0,0.71450837
CFIS_LSB.203.269.r,142.3062545847188,44.5,0.78673545
CFIS_LSB.236.248.r,142.33371792346085,34.0,0.82006094
CFIS_LSB.249.238.r,142.34758145022835,29.0,0.10161925
CFIS_LSB.185.279.r,142.4286364980689,49.5,0.0
CFIS_LSB.248.239.r,142.47048715650908,29.5,0.75100315
CFIS_LSB.205.268.r,142.49176807920958,44.0,0.70296613
CFIS_LSB.187.278.r,142.51766360699364,49.0,0.54303528
CFIS_LSB.235.249.r,142.57525318600355,34.5,0.74613699
CFIS_LSB.081.327.r,142.59792914435673,73.5,0.68400521
CFIS_LSB.247.240.r,142.60551648983756,30.0,0.80572758
CFIS_LSB.069.332.r,142.60800955813676,76.0,0.53693962
CFIS_LSB.052.339.r,142.67251091566305,79.5,0.33391996
CFIS_LSB.202.270.r,142.8355697996826,45.0,0.69906855
CFIS_LSB.250.238.r,142.919258484165,29.0,0.14325552
CFIS_LSB.057.337.r,142.9517744832571,78.5,0.64345797
CFIS_LSB.204.269.r,143.00727061715585,44.5,0.66315394
CFIS_LSB.249.239.r,143.04496492730146,29.5,0.76568648
CFIS_LSB.248.240.r,143.18286675902718,30.0,0.82070766
CFIS_LSB.206.268.r,143.1868498747179,44.0,0.76848516
CFIS_LSB.186.279.r,143.1985210196801,49.5,0.01290092
CFIS_LSB.188.278.r,143.27979015034654,49.0,0.55805718
CFIS_LSB.079.328.r,143.30423350246036,74.0,0.4994324
CFIS_LSB.067.333.r,143.50252858599467,76.5,0.77105433
CFIS_LSB.250.239.r,143.61944269809382,29.5,0.80331305
CFIS_LSB.205.269.r,143.70828664959288,44.5,0.82603623
CFIS_LSB.187.279.r,143.96840554129128,49.5,0.0
CFIS_LSB.055.338.r,144.12318426461576,79.0,0.6903262
CFIS_LSB.218.262.r,144.42641627502042,41.0,0.78148044
CFIS_LSB.065.334.r,144.4758731840386,77.0,0.78031469
CFIS_LSB.220.261.r,144.65956998798632,40.5,0.78937544
CFIS_LSB.087.325.r,144.65966426890222,72.5,0.74258232
CFIS_LSB.070.332.r,144.67479230535614,76.0,0.5913012
CFIS_LSB.217.263.r,144.86837737977157,41.5,0.75246189
CFIS_LSB.219.262.r,145.08892277169485,41.0,0.74703046
CFIS_LSB.221.261.r,145.31711348793172,40.5,0.74620328
CFIS_LSB.085.326.r,145.3629038429139,73.0,0.72361032
CFIS_LSB.218.263.r,145.53597358889493,41.5,0.74794949
CFIS_LSB.090.324.r,145.62305898749054,72.0,0.74148193
CFIS_LSB.068.333.r,145.64435737086026,76.5,0.79901471
CFIS_LSB.220.262.r,145.75142926836924,41.0,0.7224829
CFIS_LSB.073.331.r,145.77841444584212,75.5,0.62458498
CFIS_LSB.222.261.r,145.97465698787713,40.5,0.76402139
CFIS_LSB.219.263.r,146.20356979801832,41.5,0.79239671
CFIS_LSB.244.247.r,146.30300308688194,33.5,0.7958897
CFIS_LSB.088.325.r,146.32241903061376,72.5,0.68375705
CFIS_LSB.221.262.r,146.41393576504362,41.0,0.68856679
CFIS_LSB.243.248.r,146.5554807432245,34.0,0.82772266
CFIS_LSB.223.261.r,146.6322004878225,40.5,0.81674286
CFIS_LSB.246.246.r,146.66068501882154,33.0,0.71531147
CFIS_LSB.066.334.r,146.69857892533147,77.0,0.64584374
CFIS_LSB.071.332.r,146.74157505257548,76.0,0.73874286
CFIS_LSB.149.299.r,146.7869336327747,59.5,0.65186157
