targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z
39633311265457168,0.01961341082903697,1.304037834693459e-05,GALAXY,172.0417068213755,54.18738118540767,13.496971,18.062334,18.165127
39633300557400077,0.02190297708546308,1.57318695718177e-06,GALAXY,174.3936870934003,53.59500745322038,14.998514,16.769861,15.565906
39633300557400077,0.02190783501609845,1.905693371409021e-06,GALAXY,174.3936870934003,53.59500745322038,14.998514,16.769861,15.565906
39633307696106014,0.02116572742989162,6.014070161870294e-06,GALAXY,170.5057181663533,53.89652766476145,15.192806,22.46803,27.36571
39633300519652051,0.02681566964026329,8.951676450053449e-07,GALAXY,170.6766122210002,53.53345340666437,14.482889,16.447468,15.094434
39633318190252486,0.02542964782426425,2.144979344883951e-06,GALAXY,159.755590834715,54.66415941164732,15.063917,20.314512,22.296112
39633282115046795,0.02223109700187267,1.467525379884145e-05,GALAXY,161.6442855848006,52.1519538190544,14.367599,17.238108,14.955409
39633364977713906,0.02604215323309659,1.654225041988695e-06,GALAXY,147.9765130569779,58.31774352338316,13.434357,16.587988,17.126366
39633358531071502,0.02559780933714017,9.265932182355451e-06,GALAXY,146.8646891570727,57.70323360299221,13.369406,18.927582,22.209438
39633355368565144,0.02461015002566719,5.674439382695615e-06,GALAXY,156.7309671801201,57.40442982778792,15.239591,17.127611,14.065413
39633352092811319,0.02538188995034955,1.601630787707141e-05,GALAXY,156.0634448383796,57.20523276029844,13.4474945,18.787733,19.293234
39633348796091179,0.0250015524488455,1.040178558361018e-06,GALAXY,156.1779124092704,57.08719481789776,13.46374,17.548334,17.855736
39633345478396181,0.02655661464028213,5.720656032112875e-06,GALAXY,156.2635398941035,56.68857429426208,13.578967,22.43088,28.323038
39633314574763635,0.0240823604314974,4.273587356856722e-06,GALAXY,149.3234535436432,54.60900645122765,14.285167,20.467173,23.565498
39633338679428429,0.02484966352840165,9.622179221917315e-07,GALAXY,145.6730026810543,56.30623215096356,14.952365,22.1664,26.08336
39633303887679088,0.0251745034347239,2.740031186992538e-05,GALAXY,147.6066298544698,53.66144868054181,15.043283,22.542814,24.655155
