targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z,tile_name,tile_ra,tile_dec
39628019203053033,0.020883783,2.217406121578964e-06,GALAXY,350.3680021467852,9.424804382851171,15.84023,20.684872,24.012249,No tile found,,
2706466251210752,0.024915389,6.603148094702815e-07,GALAXY,348.4598721838494,11.52688848,15.934723,15.285979,12.260912,No tile found,,
39628066711932529,0.0249105,7.025348633343443e-07,GALAXY,348.4598721838494,11.52688848,15.934723,15.285979,12.260912,No tile found,,
39628043072836268,0.024613095,8.951862750691344e-06,GALAXY,354.1441222605025,10.48314343,13.48754,19.886127,25.498371,No tile found,,
39628001410813361,0.021065986,2.010942037297951e-05,GALAXY,356.9155768,8.801967480482318,13.031043,18.605953,22.696617,No tile found,,
39628013351996819,0.020846082,1.594191697532683e-05,GALAXY,357.1372078,9.159683560549553,13.628371,19.829683,25.11594,No tile found,,
39628084554501090,0.020053424,7.582416659954033e-07,GALAXY,354.5524040446441,12.21898354836418,15.540475,15.757432,14.067637,No tile found,,
39628131316793948,0.018859072,4.319333754989089e-06,GALAXY,336.0817344413002,14.30561004442168,15.532336,22.305887,27.695868,No tile found,,
39628113759441716,0.022475033,1.790589445519556e-06,GALAXY,338.8818320030134,13.40801857537186,14.374751,14.061323,10.295152,No tile found,,
39628183770763432,0.026491917,5.392379335628255e-06,GALAXY,336.5031719128112,16.59496467702615,14.785353,20.15934,24.376656,No tile found,,
39628235717220205,0.022466175,7.546067655728319e-06,GALAXY,342.3421640028702,18.66250269455111,13.926687,23.793358,35.640934,No tile found,,
39628230000379235,0.019644773,1.763591237945224e-05,GALAXY,342.9535581047202,18.53678971317494,14.682132,21.62105,27.207554,No tile found,,
39628241333388628,0.025848316,3.78235480963594e-05,GALAXY,335.5124525864736,19.00037949973997,15.646879,22.028217,27.51162,CFIS_LSB.634.218.r,335.26575593617457,19
39628252754479334,0.025934841,1.654629533751237e-06,GALAXY,335.7524834834395,19.56100619973819,13.936746,20.815472,27.14207,CFIS_LSB.633.219.r,335.7586134186515,19.5
39628258450346967,0.02543883,6.689521007166166e-06,GALAXY,335.8658380661774,19.85195503320666,13.822297,15.200024,14.785225,CFIS_LSB.631.220.r,335.7480872161503,20
39628298082323652,0.023977288,1.801950997840399e-05,GALAXY,337.8720303,21.49138756030517,13.894527,20.213646,24.094059,CFIS_LSB.629.223.r,338.02027264179526,21.5
39628348237809857,0.021926423,8.596402541703359e-06,GALAXY,334.1980828,23.81042868049199,14.678623,23.010845,29.285172,CFIS_LSB.611.228.r,334.4113830835973,24
39628320492488953,0.02512214,3.509427825937103e-05,GALAXY,337.3755876607769,22.50537169,13.387298,17.992271,20.578041,CFIS_LSB.623.225.r,337.1651703910807,22.5
39628342764243166,0.024571671,8.284527667197828e-06,GALAXY,338.3200575692422,23.44405502796979,13.405184,20.042686,26.264986,CFIS_LSB.621.227.r,338.5819628100001,23.5
39628353807846469,0.020151407,1.797442163267602e-05,GALAXY,336.9424063924076,23.97266145772455,14.015721,20.395792,25.785906,CFIS_LSB.616.228.r,337.1479737798624,24
39628348296533664,0.024865005,8.816100178718763e-06,GALAXY,338.1491673638531,23.82746683338623,14.568945,21.45094,27.075014,CFIS_LSB.618.228.r,338.2426100583684,24
39628269946932211,0.018355634,2.284890572113948e-06,GALAXY,343.9193855714467,20.30008010194022,15.479405,20.966558,24.749428,CFIS_LSB.644.221.r,343.7702151255056,20.5
39628364876617197,0.024971612,1.862023200707851e-05,GALAXY,339.9660075668265,24.54972134480241,13.456017,20.840057,27.378607,CFIS_LSB.619.229.r,340.1243656247769,24.5
39628353879150965,0.01982841,6.916485878974335e-06,GALAXY,341.6483220691974,24.12463518728358,14.602437,21.465754,26.77522,CFIS_LSB.624.228.r,341.5265188938866,24
39628195502228199,0.026743208,1.126490583368525e-05,GALAXY,346.4506142261844,16.88974704891385,13.509711,25.923641,40.707123,No tile found,,
39628178192337490,0.02307793,1.06857201619625e-06,GALAXY,349.9948131673125,16.28301396153061,14.300822,14.741262,11.116358,No tile found,,
39628241614406398,0.026840124,3.215431474570698e-06,GALAXY,353.1782826055469,18.95207978304455,13.81967,26.351744,46.077892,No tile found,,
39628275831539869,0.018016118,3.372160864334656e-05,GALAXY,357.9685300611549,20.46290684757017,15.815338,26.139517,35.870384,No tile found,,
39637116749090876,0.026860317,1.34068244181152e-06,GALAXY,348.0672469779329,22.40348301065435,14.50286,25.868666,37.733326,CFIS_LSB.643.225.r,347.9890923940047,22.5
39628303899824075,0.024595647,2.129219866581315e-06,GALAXY,350.5459784,21.76200108414379,14.871237,19.193296,20.589062,No tile found,,
39628287110025113,0.021897065,1.466153068786064e-05,GALAXY,356.7529465615833,21.10189763394803,14.315109,24.703026,35.2219,No tile found,,
39628365077940907,0.023531183,8.856824472793002e-06,GALAXY,353.0145583410437,24.38780722922639,14.147828,20.341133,25.82444,CFIS_LSB.642.229.r,352.7622661245666,24.5
39628408379935634,0.019632458,1.978407913325354e-05,GALAXY,330.0461986265315,26.39964780733639,15.202395,24.057837,32.67151,CFIS_LSB.591.233.r,330.1918137001963,26.5
39628424557368706,0.01949343,2.117503508406916e-05,GALAXY,330.1713444740317,27.29279969254996,14.141643,25.488752,35.87818,CFIS_LSB.586.235.r,330.3229104318383,27.5
39628370325017892,0.024495056,3.03470275533809e-05,GALAXY,336.8972056441269,24.74510058970756,15.180751,23.946459,32.444843,CFIS_LSB.613.229.r,336.8275220161361,24.5
39628435412224144,0.02452105,1.293876547010397e-05,GALAXY,338.9396553598627,27.65327074560147,14.568776,16.27458,17.190496,CFIS_LSB.601.235.r,338.7782750333359,27.5
39628397751570161,0.02502792,7.769696559594382e-06,GALAXY,344.6169914280944,26.00911015535058,14.994692,20.49157,25.127792,CFIS_LSB.619.232.r,344.3503006,26
39628403178996055,0.024565298,5.583291584110987e-05,GALAXY,344.4303202747214,26.14814539568467,14.3988,29.282974,46.746532,CFIS_LSB.619.232.r,344.3503006,26
39628414021272382,0.02517361,3.786835375939837e-06,GALAXY,345.7933881,26.74563678,14.975181,28.19397,44.203693,CFIS_LSB.619.233.r,345.83541908700766,26.5
39628419410953701,0.025681151,1.646410761317861e-06,GALAXY,345.5160735543822,27.05992626460308,14.285895,21.36935,22.024052,CFIS_LSB.616.234.r,345.6764811913831,27
39628462012504841,0.024567261,5.013732701767219e-06,GALAXY,340.0104998685492,28.90716899468534,14.194698,21.051174,26.79406,CFIS_LSB.595.238.r,340.1478351923127,29
39628467301518919,0.02571381,1.082574923437739e-05,GALAXY,340.6965987711987,29.27526175375542,15.010798,22.780561,30.23014,CFIS_LSB.593.239.r,340.66531807987855,29.5
39628488277232746,0.024351325,4.659248482605276e-06,GALAXY,339.6312302996787,30.33816131563649,14.139539,20.408163,25.894903,No tile found,,
39628488289817477,0.023818967,3.995243816812131e-06,GALAXY,340.6099775455999,30.16613587775682,15.16493,20.444132,8.744166,CFIS_LSB.590.240.r,340.6366588218792,30
39628488289817441,0.023760679,1.81341880073544e-06,GALAXY,340.6064737005877,30.16869792299229,14.004484,22.16557,25.393953,CFIS_LSB.590.240.r,340.6366588218792,30
39628493515916748,0.024504875,3.966280030892221e-06,GALAXY,340.9678850958838,30.38834729370744,15.607447,20.476736,24.15813,CFIS_LSB.588.241.r,341.21407851301734,30.5
39628488306589965,0.023848054,2.060139836949565e-05,GALAXY,341.5181985236188,30.32398766211149,13.800509,16.60149,23.256327,CFIS_LSB.589.241.r,341.79437456491024,30.5
39628503829709692,0.023065823,6.774556306669261e-06,GALAXY,335.8606905898657,30.90867637529536,15.043282,29.318972,44.61573,No tile found,,
39628503829709692,0.023044985,2.432767676262139e-05,GALAXY,335.8606905898657,30.90867637529536,15.043282,29.318972,44.61573,No tile found,,
39628498645552043,0.021068554,4.60724430237703e-06,GALAXY,336.0328012404324,30.74082257677263,13.269561,20.648533,26.558107,No tile found,,
39628503812935681,0.021512125,3.256425882291421e-06,GALAXY,334.9412268759391,31.05473875877487,15.836268,25.581358,34.55862,No tile found,,
39628503812935681,0.021495581,6.4622704992554e-06,GALAXY,334.9412268759391,31.05473875877487,15.836268,25.581358,34.55862,No tile found,,
39628503825519600,0.022392635,9.188765597748686e-07,GALAXY,335.7610949738409,30.92323306193771,15.441986,14.869253,15.791411,No tile found,,
39628534691399437,0.022102804,3.81214060093679e-06,GALAXY,336.7333936429694,32.56745895100368,14.413536,25.3442,35.98008,No tile found,,
39628519382190412,0.024280143,9.26950539009638e-06,GALAXY,340.4734576251355,31.64634064310181,13.331638,20.889544,28.258068,No tile found,,
39628509097757130,0.023382971,8.120831934387404e-06,GALAXY,342.3363790902556,31.14403667489385,13.529102,18.426386,23.294453,CFIS_LSB.587.242.r,342.4069020826995,31
39628514252556507,0.021653194,1.828825123299092e-05,GALAXY,341.9690802846713,31.49136071382892,13.689375,20.717953,26.52346,CFIS_LSB.583.243.r,341.8792735629836,31.5
39628519411552869,0.021600927,1.303591076182778e-05,GALAXY,342.6286978,31.85557445298668,14.2217655,19.750977,24.456097,CFIS_LSB.581.244.r,342.55132617668903,32
39628509106148291,0.022598551,3.001689462664182e-05,GALAXY,343.0326481561898,31.15097276619442,13.290479,23.746841,34.69783,CFIS_LSB.588.242.r,342.99021878130714,31
39628509118728377,0.022379227,1.147997429558785e-06,GALAXY,343.7833334305029,31.31147235981238,13.939219,15.615403,12.597116,CFIS_LSB.586.243.r,343.63851510790465,31.5
