# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
2064267,PGC2064267,198.543,35.421,94.0093,80.3941,82.8516,12.8508,,17.25,14.48,8.53,2341,2386,,,46041,2018226,CFIS_LSB.323.251.r,35.5,198.37479615431585,575.0,3.0,569.3356444871699,0.168203845684161,0.0789985656738281,10674,2333.4426,3473.8975,198.5436487,35.4211321,16.3893,0.0016,16.3893,0.0016,18.2913,0.0015,0.002204831,4.63412E-6,0.001008053,2.283254E-6,70.34,73.82,18950,21.2,35.224,16,1.961605567068619
53073,UGC09567,222.9447,43.6448,75.1167,60.6891,74.4485,31.7769,9.9,14.97,12.41,9.44,2534,2674,,,53083,-10,CFIS_LSB.323.267.r,43.5,222.6436533380971,,,942.4725207117295,0.3010466619029159,0.1447982788085937,27685,789.6359,7812.7476,222.9438931,43.6447512,13.9716,4.0E-4,13.9716,4.0E-4,16.6761,6.0E-4,0.003038514,1.083232E-6,0.002057995,6.76628E-7,-51.41,-49.39,61663,18.9975,53.953,18,2.109365803196003
4555424,SDSSJ122357.33+293547.4,185.989,29.5966,189.1153,83.4714,85.9623,1.1819,-5.0,16.96,14.22,7.66,765,754,,,40692,4514732,CFIS_LSB.324.239.r,29.5,186.1307977367296,,,564.0415904132595,0.1417977367295861,0.0965995788574218,17192,7388.2827,6874.1675,185.9890642,29.5966361,15.7222,0.0024,15.7222,0.0024,18.5917,0.0023,0.002634048,6.08585E-6,0.002433139,5.685694E-6,10.2,5.13,42006,20.968,70.289,0,0.2393246626390865
42863,NGC4656,190.99,32.1701,140.3366,84.7033,84.681,6.0193,9.0,7.98,10.9,8.82,664,677,4.88,14.0,42637,226,CFIS_LSB.324.244.r,32.0,191.0269013446596,,,622.6221448216057,0.0369013446596113,0.1701011657714843,37906,5517.7471,8356.6562,190.9953377,32.1732069,13.9928,0.0011,13.9928,0.0011,99.0,99.0,0.03644603,3.201867E-6,0.006414754,5.747276E-7,37.9,37.42,1956628,16.3077,1084.442,112,19.739802767306063
40086,NGC4310,185.6096,29.2087,193.2115,83.2802,86.2325,0.7498,-0.9,13.46,9.79,9.43,918,905,,,40692,-606,CFIS_LSB.325.238.r,29.0,185.7950360294145,23.0,102.0,951.1553830158522,0.1854360294145181,0.2087001800537109,1864,8146.4121,9043.3906,185.6090237,29.2085189,12.5346,2.0E-4,12.5346,2.0E-4,15.5329,5.0E-4,0.006050682,1.715294E-6,0.002826479,8.316835E-7,-17.94,-15.17,211521,18.3774,69.645,50,1.9246674965731376
166145,PGC166145,192.2198,31.97,129.3329,85.1264,85.1383,6.9781,10.0,,13.3,7.86,0,0,,,42637,123508,CFIS_LSB.326.244.r,32.0,192.2060797480217,,,115.84332353157724,0.0137202519782704,0.0300006866455078,14229,4792.501,4421.9766,192.2187016,31.970172,15.7228,0.003,15.7228,0.003,20.2777,0.0104,0.0026398,8.758192E-6,0.00187876,6.152559E-6,-55.63,-57.94,23516,22.9338,174.591,18,3.4111493339790853
41512,UGC07673,187.9929,29.7095,180.6979,85.0026,86.3623,2.8805,9.9,15.19,12.9,8.19,643,637,,,40692,820,CFIS_LSB.327.239.r,29.5,187.85423104910672,,,870.1742412888697,0.1386689508932761,0.2094993591308593,30778,2638.9946,9052.6924,187.9945016,29.7090536,14.4874,0.0012,15.043,9.0E-4,19.3994,0.0039,0.004461575,6.079211E-6,0.004033207,5.747065E-6,86.05,84.02,93264,21.3776,163.935,51,5.259393669200481
5065523,[MU2012]J1310+34B,197.6217,34.2369,94.172,81.7988,83.8997,11.8885,10.0,18.88,15.03,7.43,850,887,,,45684,5019839,CFIS_LSB.328.248.r,34.0,197.8197435546405,621.0,2.0,1037.170674838368,0.1980435546404919,0.2369003295898437,30260,8180.2764,9590.2471,197.6212387,34.2367062,15.419,0.0023,15.419,0.0023,18.4918,0.0023,0.002879705,4.934492E-6,9.861052E-4,1.717024E-6,69.94,68.41,19436,20.991,237.116,18,1.5400183626747683
4004554,SDSSJ141907.30+394851.6,214.7803,39.8143,73.4337,67.8443,79.3748,26.0189,10.0,17.41,14.86,8.11,1693,1798,,,51175,3953379,CFIS_LSB.329.260.r,40.0,214.73949909515983,592.0,2.0,677.9464141670823,0.0408009048401822,0.185699462890625,3957,4397.9521,1400.9054,214.7799443,39.8142719,16.5562,0.0029,16.5562,0.0029,19.067,0.0031,0.001927661,4.197674E-6,0.001525125,3.378786E-6,-42.05,-42.73,19135,22.0441,46.238,2,0.9887863244298964
56006,PGC056006,236.628,45.9983,73.5019,50.7567,68.4973,40.523,4.3,15.15,13.09,9.23,2661,2842,,,55927,79,CFIS_LSB.329.272.r,46.0,236.807050768432,,,447.8134917764094,0.1790507684319777,0.0017013549804687,19230,7411.7183,4972.8379,236.6279026,45.9984584,14.8675,3.0E-4,14.8675,3.0E-4,15.5497,3.0E-4,9.468205E-4,5.562699E-7,8.477603E-4,5.117553E-7,-36.78,-76.47,17237,18.2503,15.033,2,0.6200854129910993
