# PGC,Common,RAdeg,DEdeg,GLON_1,GLAT_1,SGL_1,SGB_1,T,Bmag,Ksmag_1,logK_1,Vh_1,VLS_1,D_1,e_D_1,eabs_D_1,Deff,eDeff,LMS,Mhcorbest,Rvirbest,thetavbest,tile,dec,ra,Separation
38550,NGC4127                      1,182.1099,76.804,126.1209,40.0569,39.6981,12.6648,5.1,12.71,10.17,10.11,1817,2020,31.62,14.0,4.4268,31.62,4.4268,10.24792373,11.72571619,202.5405902,0.367006034,CFIS_LSB.082.334.r,77.0,182.2618707860179,716.4059542517842
38788,UGC07179                     1,182.7417,63.9145,130.2444,52.6354,52.3895,9.3413,4.0,12.98,9.8,10.53,2646,2797,-99.9,-99.9,99.8001,39.95714286,11.98714286,10.59918885,12.13237277,276.7351112,0.396819346,CFIS_LSB.160.308.r,64.0,182.49376261638872,498.3026378780888
39068,NGC4194                      1,183.54,54.5265,134.3897,61.7647,61.5771,6.9747,9.5,12.58,9.7,10.49,2451,2560,-99.9,-99.9,99.8001,36.57142857,10.97142857,10.56228385,12.07495091,264.8034536,0.414863015,CFIS_LSB.213.289.r,54.5,183.3984121358824,310.8972599895091
39366,NGC4238                      1,184.2326,63.4099,129.3801,53.2843,53.0674,9.8365,6.5,13.21,11.44,9.92,2758,2908,36.31,14.0,5.0834,36.31,5.0834,9.860052498,11.48571493,168.465762,0.265832699,CFIS_LSB.164.307.r,63.5,183.77499304287247,804.5010113421172
39414,NGC4250                      1,184.3597,70.8024,126.9483,46.0598,45.8034,11.7724,-0.8,13.09,9.26,10.54,2019,2200,-99.9,-99.9,99.8001,31.42857143,9.428571429,10.60664928,12.14448229,279.3191881,0.509212586,CFIS_LSB.120.322.r,71.0,184.2932092054345,715.6631372990919
39568,NGC4256                      1,184.6794,65.8983,128.2172,50.893,50.6767,10.6696,3.0,11.69,8.33,11.12,2528,2689,-99.9,-99.9,99.8001,38.41428571,11.52428571,11.15298552,13.25397482,654.5331014,0.976251809,CFIS_LSB.150.312.r,66.0,184.39450016806785,555.6648773155722
39791,NGC4291                      1,185.0737,75.3709,125.5542,41.5984,41.2983,13.0193,-4.8,12.2,8.48,10.68,1757,1956,26.3,13.0,3.419,26.3,3.419,10.7639115,12.44275547,351.1762733,0.765054575,CFIS_LSB.093.331.r,75.5,185.71770607483995,745.5790700125801
40500,NGC4391                      1,186.328,64.9335,127.418,51.9667,51.7991,11.1009,-3.1,13.63,10.1,9.86,1320,1479,23.77,13.0,3.0901,23.77,3.0901,10.02805836,11.57654993,180.6300433,0.435395367,CFIS_LSB.157.310.r,65.0,185.74682427747112,917.1074384991832
41222,NGC4481                      1,187.4521,64.0334,126.8569,52.9298,52.8043,11.3704,2.0,14.2,11.01,9.94,2300,2456,-99.9,-99.9,99.8001,35.08571429,10.52571429,10.00226064,11.56170131,178.5831357,0.29163062,CFIS_LSB.164.308.r,64.0,187.05610668179844,636.0267765043711
41436,NGC4500                      1,187.8423,57.9647,128.0939,58.9621,58.8675,10.1908,1.1,12.87,9.83,10.65,3111,3241,34.51,18.0,6.2118,34.51,6.2118,10.45988992,11.93602681,238.0211841,0.395178812,CFIS_LSB.199.296.r,58.0,187.76445152258592,195.5199936860756
41527,NGC4513                      1,188.0062,66.3326,126.0043,50.6798,50.5581,12.08,-2.0,13.85,10.39,10.2,2285,2451,-99.9,-99.9,99.8001,35.01428571,10.50428571,10.24849054,11.72617141,202.6113696,0.331544281,CFIS_LSB.150.313.r,66.5,188.08821347758507,614.0956279423431
