Unnamed: 0_1,tile_1,total_count_1,N_cut_1,good_count_1,good_fraction_1,N_cut_masked_1,normalized_N_1,ra_1,dec_1,Unnamed: 0_2,tile_2,total_count_2,N_cut_2,good_count_2,good_fraction_2,N_cut_masked_2,normalized_N_2,ra_2,dec_2,Unnamed: 0,tile,total_count,N_cut,good_count,good_fraction,N_cut_masked,normalized_N,ra,dec
10,CFIS_LSB.228.259.r,42098,11411,33124,0.7868307283006318,8861,11261.634404057482,147.7402385231137,39.5,10,CFIS_LSB.228.259.r,42098,46,33124,0.7868307283006318,33,41.94040574809806,147.7402385231137,39.5,10,CFIS_LSB.228.259.r,42098,3518,33124,0.7868307283006318,2739,3481.053677092139,147.7402385231137,39.5
11,CFIS_LSB.245.245.r,31243,10592,25673,0.821720065294626,8634,10507.22790480271,145.2469083106847,32.5,11,CFIS_LSB.245.245.r,31243,40,25673,0.821720065294626,29,35.29182409535309,145.2469083106847,32.5,11,CFIS_LSB.245.245.r,31243,3649,25673,0.821720065294626,2927,3562.0403147275347,145.2469083106847,32.5
12,CFIS_LSB.245.239.r,11226,4978,0,0.0,0,,140.74705384413195,29.5,12,CFIS_LSB.245.239.r,11226,17,0,0.0,0,,140.74705384413195,29.5,12,CFIS_LSB.245.239.r,11226,2100,0,0.0,0,,140.74705384413195,29.5
13,CFIS_LSB.422.242.r,36058,13676,31411,0.8711242997393089,11963,13732.82779917863,246.15964681243472,31.0,13,CFIS_LSB.422.242.r,36058,48,31411,0.8711242997393089,31,35.58619591862723,246.15964681243472,31.0,13,CFIS_LSB.422.242.r,36058,4235,31411,0.8711242997393089,3675,4218.686129063067,246.15964681243472,31.0
14,CFIS_LSB.004.241.r,34293,13386,29996,0.8746974601230572,11700,13376.053473796506,2.3211842075715463,30.5,14,CFIS_LSB.004.241.r,34293,83,29996,0.8746974601230572,59,67.45189358581145,2.3211842075715463,30.5,14,CFIS_LSB.004.241.r,34293,4510,29996,0.8746974601230572,3853,4404.951626883585,2.3211842075715463,30.5
15,CFIS_LSB.204.294.r,25571,10222,14110,0.5517969574909076,5903,10697.775549255848,187.2800027952196,57.0,15,CFIS_LSB.204.294.r,25571,51,14110,0.5517969574909076,21,38.057476966690295,187.2800027952196,57.0,15,CFIS_LSB.204.294.r,25571,3905,14110,0.5517969574909076,2171,3934.418214032601,187.2800027952196,57.0
16,CFIS_LSB.209.238.r,4143,1719,0,0.0,0,,119.48050009276194,29.0,16,CFIS_LSB.209.238.r,4143,19,0,0.0,0,,119.48050009276194,29.0,16,CFIS_LSB.209.238.r,4143,733,0,0.0,0,,119.48050009276194,29.0
17,CFIS_LSB.654.226.r,2649,887,0,0.0,0,,355.23984341153187,23.0,17,CFIS_LSB.654.226.r,2649,7,0,0.0,0,,355.23984341153187,23.0,17,CFIS_LSB.654.226.r,2649,322,0,0.0,0,,355.23984341153187,23.0
18,CFIS_LSB.000.244.r,38744,11688,15641,0.4037012182531488,4943,12244.203823284955,0.0,32.0,18,CFIS_LSB.000.244.r,38744,94,15641,0.4037012182531488,45,111.46857617799374,0.0,32.0,18,CFIS_LSB.000.244.r,38744,3879,15641,0.4037012182531488,1670,4136.722715938879,0.0,32.0
19,CFIS_LSB.019.251.r,39900,9349,31974,0.8013533834586466,7536,9404.090823794331,11.669105656136226,35.5,19,CFIS_LSB.019.251.r,39900,52,31974,0.8013533834586466,28,34.94088947269657,11.669105656136226,35.5,19,CFIS_LSB.019.251.r,39900,2885,31974,0.8013533834586466,2363,2948.7614937136423,11.669105656136226,35.5
20,CFIS_LSB.166.286.r,32550,12939,29184,0.8965898617511521,11703,13052.790912828948,137.9161317131661,53.0,20,CFIS_LSB.166.286.r,32550,59,29184,0.8965898617511521,53,59.11287006578947,137.9161317131661,53.0,20,CFIS_LSB.166.286.r,32550,4547,29184,0.8965898617511521,4103,4576.228412828948,137.9161317131661,53.0
21,CFIS_LSB.632.231.r,36355,10530,32320,0.8890111401457846,9396,10569.04641089109,350.1054199300594,25.5,21,CFIS_LSB.632.231.r,36355,60,32320,0.8890111401457846,34,38.2447400990099,350.1054199300594,25.5,21,CFIS_LSB.632.231.r,36355,3380,32320,0.8890111401457846,2993,3366.661974009901,350.1054199300594,25.5
22,CFIS_LSB.584.237.r,29039,7913,22181,0.763834842797617,6066,7941.507326089896,332.2648089037804,28.5,22,CFIS_LSB.584.237.r,29039,50,22181,0.763834842797617,16,20.9469365673324,332.2648089037804,28.5,22,CFIS_LSB.584.237.r,29039,3058,22181,0.763834842797617,2224,2911.624182859204,332.2648089037804,28.5
23,CFIS_LSB.347.274.r,38974,13795,33946,0.8709909170216041,12048,13832.520827196136,254.39943870847492,47.0,23,CFIS_LSB.347.274.r,38974,67,33946,0.8709909170216041,44,50.517174335709655,254.39943870847492,47.0,23,CFIS_LSB.347.274.r,38974,4434,33946,0.8709909170216041,3860,4431.733930359984,254.39943870847492,47.0
